Sheet,State_Territory,Total_Transactions,Unprocessed_Transactions,Z_Total_Nonmatches,Total_Matches,X_Single_Match_Alive,Y_Single_Match_Deceased,V_Multiple_Match_Alive,T_Multiple_Match_Deceased,W_Multiple_Match_Mixed,PercentNonMatch,PercentMatchDeceased,Year,Date,DayOfYear,ISOyear,ISOweek
2015-03-28,Nevada,262,0,76,186,175,11,0,0,0,29.008,5.914,2015,2015-03-28,87,2015,13
2015-03-28,New Hampshire,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-28,87,2015,13
2015-03-28,New Jersey,289,0,101,188,182,6,0,0,0,34.948,3.191,2015,2015-03-28,87,2015,13
2015-03-28,New Mexico,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-28,87,2015,13
2015-03-28,New York,2326,0,761,1565,1564,0,1,0,0,32.717,0,2015,2015-03-28,87,2015,13
2015-03-28,North Carolina,484,0,73,411,410,1,0,0,0,15.083,0.243,2015,2015-03-28,87,2015,13
2015-03-28,North Dakota,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-28,87,2015,13
2015-03-28,Ohio,1273,0,218,1055,1055,0,0,0,0,17.125,0,2015,2015-03-28,87,2015,13
2015-03-28,Oklahoma,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-28,87,2015,13
2015-03-28,Oregon,420,0,209,211,211,0,0,0,0,49.762,0,2015,2015-03-28,87,2015,13
2015-03-28,Pennsylvania,989,0,204,785,784,0,0,0,1,20.627,0,2015,2015-03-28,87,2015,13
2015-03-28,Rhode Island,121,0,11,110,110,0,0,0,0,9.091,0,2015,2015-03-28,87,2015,13
2015-03-28,South Carolina,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-28,87,2015,13
2015-03-28,South Dakota,183,0,33,150,150,0,0,0,0,18.033,0,2015,2015-03-28,87,2015,13
2015-03-28,Tennessee,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-28,87,2015,13
2015-03-28,Texas,954,0,203,751,751,0,0,0,0,21.279,0,2015,2015-03-28,87,2015,13
2015-03-28,Utah,202,0,93,109,106,3,0,0,0,46.04,2.752,2015,2015-03-28,87,2015,13
2015-03-28,Vermont,219,0,58,161,161,0,0,0,0,26.484,0,2015,2015-03-28,87,2015,13
2015-03-28,Virginia,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-28,87,2015,13
2015-03-28,Washington,267,0,54,213,213,0,0,0,0,20.225,0,2015,2015-03-28,87,2015,13
2015-03-28,West Virginia,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015-03-28,87,2015,13
2015-03-28,Wisconsin,69,0,10,59,59,0,0,0,0,14.493,0,2015,2015-03-28,87,2015,13
2015-03-28,Wyoming,40,0,9,31,31,0,0,0,0,22.5,0,2015,2015-03-28,87,2015,13
2015-03-28,Total,54661,0,29222,25439,23541,1884,12,1,1,53.46,7.41,2015,2015-03-28,87,2015,13
2015-03-21,Alabama,1130,0,212,918,773,145,0,0,0,18.761,15.795,2015,2015-03-21,80,2015,12
2015-03-21,Alaska,14,0,8,6,6,0,0,0,0,57.143,0,2015,2015-03-21,80,2015,12
2015-03-21,Arizona,367,0,117,250,247,3,0,0,0,31.88,1.2,2015,2015-03-21,80,2015,12
2015-03-21,Arkansas,138,0,44,94,94,0,0,0,0,31.884,0,2015,2015-03-21,80,2015,12
